uniqueId;serialNumber;name;Latitude;longitude;address;zipcode;city;country;category;active;moderated;model;;
LRBP0003;LR000BB00001;Rue Azema;-20.980832;55.642729;Rue Azema;97412;Bras-Panon;La reunion;installation-verre;1;0;ESE;;Bras-Panon
LRBP0008;LR000BB00002;Chemin Bellevue;-20.983749;55.643053;Chemin Bellevue;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0010;LR000BB00003;Chemin Notre-Dame du Rosaire;-20.988631;55.632164;Chemin Notre-Dame du Rosaire;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0011;LR000BB00004;Rue du Temple;-20.984611;55.653737;Rue du Temple;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0014;LR000BB00005;Chemin Bras Petard;-21.002633;55.671019;Chemin Bras Petard;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0017;LR000BB00006;Rue du 20 Decembre;-20.994822;55.677669;Rue du 20 Decembre;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0018;LR000BB00007;Rue des Becs Roses;-20.99386;55.682352;Rue des Becs Roses;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0021;LR000BB00008;Rue Roger Vidot;-20.99819;55.676643;Rue Roger Vidot;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0027;LR000BB00009;Intersection Rue des Corbeilles d'Or / Impasse Amethyste;-20.999806;55.691392;Intersection Rue des Corbeilles d'Or / Impasse Amethyste;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0031;LR000BB00010;Rue François Roland;-21.00254;55.700034;Rue François Roland;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0034;LR000BB00011;Allee des Lotus;-21.003263;55.69193;Allee des Lotus;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0037;LR000BB00012;Intersection Avenue du Vanillier / Rue des Avocatiers;-21.002514;55.685178;Intersection Avenue du Vanillier / Rue des Avocatiers;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0038;LR000BB00013;Rue des Lilas - decheterie;-21.001746;55.680184;Rue des Lilas - decheterie;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRBP0051;LR000BB00014;intersection chemin La Caroline / chemin Bras sec;-20.999473;55.654386;intersection chemin La Caroline / chemin Bras sec;97412;Bras-Panon;La reunion;installation-verre;1;0;;;
LRPDP002;LR000BB00015;Rue Emilienne Maillot;-21.122024;55.642973;Rue Emilienne Maillot;97431;La Plaine-des-Palmistes;La reunion;installation-verre;1;0;;;
LRPDP014;LR000BB00016;Rue du Commerce;-21.1339;55.626379;Rue du Commerce;97431;La Plaine-des-Palmistes;La reunion;installation-verre;1;0;;;
LRPDP022;LR000BB00017;Avenue du Stade - Decheterie;-21.131499;55.620172;Avenue du Stade - Decheterie;97431;La Plaine-des-Palmistes;La reunion;installation-verre;1;0;;;
LRPDP034;LR000BB00018;Rue de la Republique;-21.152945;55.610774;Rue de la Republique;97431;La Plaine-des-Palmistes;La reunion;installation-verre;1;0;;;
LRPDP042;LR000BB00019;Rue Luc Boyer;-21.137276;55.605307;Rue Luc Boyer;97431;La Plaine-des-Palmistes;La reunion;installation-verre;1;0;;;
LRSA0004;LR000BB00020;Chemin Bois Rouge;-20.930677;55.644812;Chemin Bois Rouge;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0010;LR000BB00021;Ruelle des Orchidees;-20.932894;55.65132;Ruelle des Orchidees;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0019;LR000BB00022;Parc Colosse;-20.928381;55.660453;Parc Colosse;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0022;LR000BB00023;Chemin Champ Borne;-20.940157;55.67629;Chemin Champ Borne;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0023;LR000BB00024;Rue Jean de la Fontaine (ZAC fayard);-20.940026;55.663504;Rue Jean de la Fontaine (ZAC fayard);97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0028;LR000BB00025;Chemin du Centre;-20.946622;55.655462;Chemin du Centre;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0033;LR000BB00026;Lotissement Satec;-20.944161;55.669711;Lotissement Satec;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0035;LR000BB00027;RD48;-20.943739;55.681033;RD48;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0038;LR000BB00028;Chemin Lefaguyes;-20.960593;55.662269;Chemin Lefaguyes;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0042;LR000BB00029;Chemin Rio;-20.953936;55.67041;Chemin Rio;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0049;LR000BB00030;Chemin Agenor;-20.950155;55.686122;Chemin Agenor;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0052;LR000BB00031;Chemin Grand Canal;-20.957499;55.688224;Chemin Grand Canal;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0058;LR000BB00032;Lotissement Grand Pelvoisin;-20.975078;55.69516;Lotissement Grand Pelvoisin;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0064;LR000BB00033;Intersection Rue des Longoses / Rue du Temple;-20.966266;55.668221;Intersection Rue des Longoses / Rue du Temple;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0070;LR000BB00034;Rue des Flamboyants;-20.970921;55.658924;Rue des Flamboyants;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0074;LR000BB00035;Rue des Longanis;-20.975858;55.657623;Rue des Longanis;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0078;LR000BB00036;Chemin de la Chapelle;-20.949104;55.649849;Chemin de la Chapelle;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0081;LR000BB00037;Rue Dumesgnil D'Engente;-20.954239;55.654561;Rue Dumesgnil D'Engente;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0083;LR000BB00038;Rue Lacoaret;-20.957517;55.654881;Rue Lacoaret;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0085;LR000BB00039;Rue du Stade ;-20.956185;55.647214;Rue du Stade ;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0102;LR000BB00040;Lotissement les Feuillantines;-20.963548;55.645408;Lotissement les Feuillantines;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0105;LR000BB00041;chemin Lebon ;-20.966719;55.651676;chemin Lebon ;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0112;LR000BB00042;Route du Pont;-20.975355;55.645962;Route du Pont;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0114;LR000BB00043;Rue Maxime Laope;-20.975187;55.650686;Rue Maxime Laope;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0125;LR000BB00044;Lotissement Soleil;-20.965833;55.623322;Lotissement Soleil;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0129;LR000BB00045;Lotissement Diore;-20.98309;55.620054;Lotissement Diore;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0132;LR000BB00046;Rue des Limites;-20.971926;55.689978;Rue des Limites;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0134;LR000BB00047;lot Caramboles;-20.965916;55.647697;lot Caramboles;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSA0137;LR000BB00048;rue de la Communaute;-20.966993;55.654866;rue de la Communaute;97440;Saint-Andre;La reunion;installation-verre;1;0;;;
LRSAL006;LR000BB00049;Intersection Rue Georges Pompidou / Route de Bois de Pomme;-21.026326;55.539288;Intersection Rue Georges Pompidou / Route de Bois de Pomme;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL012;LR000BB00050;Impasse Techer Appolidor;-21.06843;55.521369;Impasse Techer Appolidor;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL017;LR000BB00051;Intersection Chemin Begue / Chemin de l'Aloes;-21.028666;55.50525;Intersection Chemin Begue / Chemin de l'Aloes;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL027;LR000BB00052;Chemin du Cimetiere ;-21.029397;55.476397;Chemin du Cimetiere ;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL029;LR000BB00053;au niveau du CASE;-21.03666;55.532754;au niveau du CASE;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSAL033;LR000BB00054;route du Telepherique;-21.051147;55.530072;route du Telepherique;97433;Salazie;La reunion;installation-verre;1;0;;;
LRSB0005;LR000BB00055;Lotissement Chay-Pac-Thing;-21.011164;55.693196;Lotissement Chay-Pac-Thing;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0008;LR000BB00056;Route Nationale 2 Site de la Cabane;-21.016154;55.700573;Route Nationale 2 Site de la Cabane;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0011;LR000BB00057;Intersection Lotissement Oree / Rue Antoine Chauvet;-21.029615;55.706245;Intersection Lotissement Oree / Rue Antoine Chauvet;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0017;LR000BB00058;Rue du Stade de l'Îlet;-21.034012;55.716295;Rue du Stade de l'Îlet;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0021;LR000BB00059;Chemin Goyave;-21.036412;55.705612;Chemin Goyave;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0022;LR000BB00060;Chemin Manes;-21.034152;55.69931;Chemin Manes;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
LRSB0025;LR000BB00061;Av Jean Jaures / Rue Pierre Leproux;-21.039851;55.719178;Av Jean Jaures / Rue Pierre Leproux;97470;Saint-Benoit;La reunion;installation-verre;1;0;;;
